UltimateParentAccountID,Revenue,CountWPVisits,CountFormFills,CountLinkClicks,CountEmailOpens,CountWPVisits_A,CountFormFills_A,CountLinkClicks_A,CountEmailOpens_A,CountPeopleWPVisits_A,CountPeopleFormFills_A,CountPeopleLinkClicks_A,CountPeopleEmailOpens_A,Contact_Score,Account_Score,PersonScore
0012J00002KgQlGQAV,0,0,0,0,1,2,1,1,4,1,1,2,5,10,8,18
0012J00002KgQlGQAV,0,0,0,0,1,2,1,1,4,1,1,2,5,10,8,18
0012J00002KgQlGQAV,0,0,0,0,1,2,1,1,4,1,1,2,5,10,8,18
0012J00002KgQlGQAV,0,0,0,0,1,2,1,1,4,1,1,2,5,10,8,18
0012J00002KgQlGQAV,0,0,0,0,0,2,1,1,4,1,1,2,5,0,8,0
0012J00002KgQlGQAV,0,2,1,1,0,2,1,1,4,1,1,2,5,20,8,28
0012J00002KuRajQAF,0,0,0,0,2,0,0,0,16,0,0,1,4,10,10,20
0012J00002KuRajQAF,0,0,0,0,2,0,0,0,16,0,0,1,4,10,10,20
0012J00002KuRajQAF,0,0,0,0,8,0,0,0,16,0,0,1,4,30,10,40
0012J00002KuRajQAF,0,0,0,0,4,0,0,0,16,0,0,1,4,30,10,40
0012J00002Lb7kvQAB,1,0,0,0,0,3,1,1,4,1,1,2,5,0,9,0
0012J00002Lb7kvQAB,1,0,0,0,0,3,1,1,4,1,1,2,5,0,9,0
0012J00002Lb7kvQAB,1,0,0,0,0,3,1,1,4,1,1,2,5,0,9,0
0012J00002Lb7kvQAB,1,0,0,0,0,3,1,1,4,1,1,2,5,0,9,0
0012J00002Lb7kvQAB,1,0,0,0,0,3,1,1,4,1,1,2,5,0,9,0
0012J00002Lb7kvQAB,1,0,0,0,0,3,1,1,4,1,1,2,5,0,9,0
0012J00002Lb7kvQAB,1,3,1,1,1,3,1,1,4,1,1,2,5,20,9,29
0012J00002Lb7kvQAB,1,0,0,0,1,3,1,1,4,1,1,2,5,10,9,19
0012J00002Lb7kvQAB,1,0,0,0,1,3,1,1,4,1,1,2,5,10,9,19
0012J00002Lb7kvQAB,1,0,0,0,1,3,1,1,4,1,1,2,5,10,9,19
0012J00002Lb7kwQAB,0,0,0,0,1,42,5,15,104,7,5,2,38,10,24,34
0012J00002Lb7kwQAB,0,0,0,0,9,42,5,15,104,7,5,2,38,30,24,54
0012J00002Lb7kwQAB,0,0,0,0,1,42,5,15,104,7,5,2,38,10,24,34
0012J00002Lb7kwQAB,0,4,0,0,8,42,5,15,104,7,5,2,38,30,24,54
0012J00002Lb7kwQAB,0,0,0,0,1,42,5,15,104,7,5,2,38,10,24,34
0012J00002Lb7kwQAB,0,0,0,0,6,42,5,15,104,7,5,2,38,30,24,54
0012J00002Lb7kwQAB,0,0,0,0,3,42,5,15,104,7,5,2,38,30,24,54
0012J00002Lb7kwQAB,0,0,0,0,1,42,5,15,104,7,5,2,38,10,24,34
0012J00002Lb7kwQAB,0,4,0,0,6,42,5,15,104,7,5,2,38,30,24,54
0012J00002Lb7kwQAB,0,0,0,0,1,42,5,15,104,7,5,2,38,10,24,34
0012J00002Lb7kwQAB,0,0,0,0,0,42,5,15,104,7,5,2,38,0,24,0
0012J00002Lb7kwQAB,0,0,0,0,0,42,5,15,104,7,5,2,38,0,24,0
0012J00002Lb7kwQAB,0,0,0,0,4,42,5,15,104,7,5,2,38,30,24,54
0012J00002Lb7kwQAB,0,0,0,0,2,42,5,15,104,7,5,2,38,10,24,34
