UltimateParentAccountID,ARR,UserCount_All,SessionCount_Amp,ResponseCount,ActionCount_ProjectsCreated,MUserCount_ProjectsCreated,Pageland_Count,AMRActions_UniqueUsers,TextIqConsumption_Events,TextIqConsumption_Uniques
00150000015uA0rAAE,1,71457,1331371,85484195,16403,10374,4111568,18182,310,14478
0015000000SwIb0AAF,1,128129,3643498,73822698,65249,22996,11800954,30816,634,21768
0015000000wLGDIAA4,1,40432,489527,4574040,5355,2577,1566641,4588,218,35058
0015000000b5CaZAAU,1,210884,2856069,39270028,2452,772,23723412,2183,570,43366
0015000000fqdygAAA,1,1332319,52242714,143693669,21135,11475,154089658,24860,1687,57807
0012J00002QkIhgQAF,1,60989,546210,3307963,8854,4524,1621358,7485,134,11007
0015000000SwPBYAA3,1,547653,23241995,77297922,23592,12522,56696371,17089,624,23902
0015000000qFtYMAA0,1,337341,2253670,11761944,33301,11779,4797409,18323,299,10768
0015000000d4eV1AAI,1,22697,155143,1787929,482,187,617236,432,47,1315
0015000000qFp55AAC,1,2513,29506,75035,795,279,132646,406,26,152
0015000000SwxMrAAJ,1,70895,446584,2774494,114,58,837052,147,15,1487
0015000000YXQxkAAH,1,19626,246410,2702859,4128,2131,640983,1927,123,4349
0015000000QzAzEAAV,1,229801,4164354,5225600,1770,654,8345366,1921,52,2882
0015000000iUGS5AAO,1,73170,1407699,14534201,1965,879,5716527,3195,377,12331
0015000000Ot4ZyAAJ,1,22233,1821998,622212,613,316,3486296,459,32,813
0015000000iTx51AAC,1,25986,204696,7319606,1296,574,563834,765,33,1792
0015000000eBYGtAAO,1,56856,1331861,2337702,5229,2643,2931088,3852,56,1636
0015000000d2pRmAAI,1,116039,1409031,3861494,1193,568,2866591,1548,172,26243
0012J00002QkauYQAR,1,23077,256348,1299978,2551,1343,584532,1210,98,4904
0015000000hY0WjAAK,1,23237,301700,5711375,763,368,1375016,862,120,14821
0015000000nDXMMAA4,1,169469,6205936,5403026,943,360,16476151,1177,164,7011
0015000000RrrdWAAR,1,4596,69923,3433699,880,441,287906,952,66,6305
0015000000ZDMlaAAH,1,31718,771145,13728704,1773,685,1529623,1461,83,9041
001500000170QO6AAM,1,224,3940,58688,23,8,17344,41,1,48
0015000000Uv0vhAAB,1,254493,3634698,2451262,3255,1662,8162313,2812,141,8783
0015000000pkEnlAAE,1,1107,19162,24777,295,155,52304,257,3,199
0015000000SuxE8AAJ,1,4740,112577,1261436,1309,386,338567,633,7,75
0015000000kkEsHAAU,1,1410,13670,55807,270,145,61501,219,8,70
00150000010Mq7KAAS,1,14573,201238,1149146,2588,1056,778301,1994,156,11054
0015000000wNmCFAA0,1,18162,141288,2351590,767,342,464072,621,77,30750
0015000000Mv73bAAB,1,96597,1269359,29920451,35653,22609,4044389,23219,298,22339
0015000000SwWZbAAN,1,7303,101551,26858469,2006,741,444880,1403,105,4335
0015000000XxhVXAAZ,1,67461,2403365,14715947,25870,12227,4998294,18269,116,3151
0012J00002QkGErQAN,1,52887,1045321,15171050,4475,2156,2937341,3419,217,11857
0015000000eCYPeAAO,1,43404,475155,2719585,11147,5595,1957853,9424,101,1748
0015000000Stn9iAAB,1,56687,1178702,8332807,15165,9458,3290162,11585,222,5891
0015000000fqdJHAAY,1,16021,285662,18270329,2429,1215,981327,1962,112,9185
0015000000nDrejAAC,1,110445,1714400,6446909,1727,827,6340377,1452,170,26701
0015000000UA8guAAD,1,54835,435382,4632709,2325,797,1472006,1501,73,7658
0015000000etwhNAAQ,1,20328,230352,4562772,712,396,893408,1264,216,8520
0015000000d5aBxAAI,1,99020,944057,1421910,3034,1453,1887350,2117,55,3255
0015000000qFsgCAAS,1,12021,88628,482739,207,119,273601,275,41,2251
0015000000tGUUuAAO,1,15038,142408,10048394,559,274,353938,466,73,3981
0015000000nDsXYAA0,1,43030,482356,2346133,546,257,1823430,505,68,14669
0015000000nDX40AAG,1,1926,44727,344112,638,224,128008,445,9,80
0015000000MAV8eAAH,1,47264,1040029,29267926,12598,4845,3294948,6408,115,11260
0015000000euzQ4AAI,1,16120,233034,3831577,4586,2577,981006,4415,73,3252
0015000000ISWq7AAH,1,222249,13520197,17839737,1120,581,38029962,1416,80,19576
0015000000qFjrGAAS,1,90445,1103702,24133432,1947,667,3526557,1666,201,37641
0015000000nDX4QAAW,1,3636,54682,3460535,388,162,192589,443,6,91
0015000000RU47HAAT,1,25972,1517171,10970478,440,156,4582288,344,31,4226
00150000010McJvAAK,1,18331,115858,599474,548,218,361512,744,99,1892
0015000000ph9rCAAQ,1,30476,604752,2850256,2778,1108,1493994,1621,69,8553
00150000010MdmfAAC,1,2826,36804,4757175,290,126,151155,307,1,1
0015000000tGBDbAAO,1,14512,110541,645549,1210,512,504855,1397,139,11780
